review_id,product_title,customer_id,review_body,star_rating,review_date
7e514167-4831-4706-ba70-b768614cf4cb,Laptop Stand,25387,Space health authority foot respond news try education whatever yes particularly war.,5,2025-03-01
8b29c48d-f66a-4ec5-beb1-69de8c21347e,Laptop Stand,11094,Environment them hear person chance coach themselves help class structure major five.,4,2025-04-17
729b5206-508f-40c6-8ea6-ff38eab87b98,Smart Watch,29279,Throw we something itself safe serve.,5,2025-01-28
b8d4ed2c-835b-41de-93e2-1ff86af8f394,Laptop Stand,97387,Interesting those cost offer cut eye she hand.,5,2025-02-22
6981597c-9002-46d7-b033-255d9c9b31cc,Fitness Tracker,63879,Under hit suffer standard last other skin baby property structure find.,4,2025-02-09
560f7bb9-80f7-4a78-8090-952c10fed21f,Fitness Tracker,92883,Yes investment experience realize every compare hold sister.,4,2024-07-16
ae9fc747-b0aa-47bc-b0fb-0f680db5dd88,Fitness Tracker,29221,Type bed oil yard economic central idea.,3,2024-10-26
77ee088a-b66b-481c-970f-c5ce320a5585,Wireless Earbuds,20122,Economic with agree well what mean ahead table seven hot attorney write politics.,1,2025-01-29
dd50adb0-7453-4e5a-a584-15a3ac5142e7,Bluetooth Speaker,29703,Song everything some particular we character wear take represent onto.,1,2025-04-05
4affa4b6-938e-4913-890a-f1474f0c80a4,Bluetooth Speaker,47002,Say figure hospital middle may especially study give nothing.,5,2024-12-27
ef741d05-ece9-4a73-8680-882cbda8b069,Smart Watch,95454,Start bag different evidence study nothing close recent into easy explain.,5,2024-07-23
b9a5c074-ecf1-4d2c-9001-f6f7bb3b3e7d,Smart Watch,82610,Which nearly around perform car outside beyond nature fall unit sign.,1,2024-12-07
a708b4df-0a5f-4080-9c65-ff99da1efc49,Fitness Tracker,59704,Staff to poor late particularly cultural wonder between perhaps week.,2,2024-11-21
077b99a2-13c5-461d-bed7-e0724ff019cb,Fitness Tracker,70252,Food election data hard school like civil.,2,2024-08-15
649ee3d0-d690-46d7-9671-1f4d15d6b39c,Laptop Stand,65727,Executive number fast school ability responsibility.,4,2024-10-05
2c8eec06-2f2c-4403-bf4d-76f478fc88c0,Bluetooth Speaker,89841,Race chair statement call its understand care fight.,5,2024-06-19
6254fbb3-9f2b-4ffa-8a67-ed0b286dc127,Bluetooth Speaker,31643,Husband natural whose president those others.,4,2024-10-01
c15d930e-fa77-4423-b99c-608cce82509e,Bluetooth Speaker,88567,Opportunity capital environment future soon decade nature investment.,3,2024-05-15
320f92f1-f45b-408f-aa2a-1c799464c67b,Smart Watch,60391,Because compare law bank city any how knowledge challenge participant sister apply expert.,4,2024-09-09
ca05031b-d9d4-4a72-a75f-71e89fd56143,Wireless Earbuds,97887,Budget indicate open firm investment tend west it suffer firm skin.,3,2024-08-09
7e7b8d54-9930-426b-b400-d514bd3419e9,Bluetooth Speaker,29517,Suggest check consumer drug center news visit yes.,3,2024-10-28
fbf269c6-2f0b-4711-805f-edc70d9d1820,Smart Watch,16579,Popular early current see wall hour cover wide rule charge back.,5,2024-09-30
3fc360ae-56ea-41c5-a88b-df2cd5a9b4cc,Laptop Stand,24457,Middle follow first peace perform throw major role suffer.,4,2024-10-11
6c02aa03-cdae-4761-b4a8-4bff12510121,Smart Watch,23212,Goal also social walk our large hospital state loss despite consider.,4,2025-03-29
77845812-6d29-42c3-9b5e-c0385386a2a6,Smart Watch,71499,Office at develop trial federal dark seem wrong someone recent positive maintain effort.,3,2024-12-19
3c1fa9e7-f506-4eea-8bb8-1a5e78a796b5,Smart Watch,93179,Result speak seat condition enter world myself the cold yeah discuss.,4,2024-11-01
8c0b7053-997f-40b0-9364-85782e089795,Bluetooth Speaker,66723,Positive mission hospital cut black establish policy rise style remain.,3,2024-11-15
6c15de8a-cc87-4dfc-9bb5-2fee516cad08,Fitness Tracker,11564,Begin want energy especially new feeling.,4,2025-01-14
088f4770-529c-4542-8d54-24237ea018ba,Smart Watch,55812,Attack ground assume reach glass down team another health study culture one west.,3,2025-02-20
368fd767-0530-4d53-9900-8feba92bd368,Fitness Tracker,90458,Year help wrong director six hear manage like front policy major air attorney.,4,2024-05-18
7682d7ca-7ff3-466d-ab07-73acd05bad39,Smart Watch,31172,Too control dog protect guy piece difference than past common.,5,2024-12-25
64a9ce78-ce8e-491b-97ba-fe316d24926f,Wireless Earbuds,64743,Today too from very federal short.,3,2025-03-13
3084c020-4394-4959-9981-026799f37076,Fitness Tracker,27598,News feeling special us national only method open detail natural.,5,2025-02-16
8bb813b0-d78c-4a05-bf8b-40cd81dbc2e1,Laptop Stand,21141,Budget house result win occur opportunity section join whole true situation.,1,2024-07-07
51bf7c18-4d35-4ba1-9fb5-3d09c47d75e5,Bluetooth Speaker,55526,Tree me town physical who course possible friend can.,4,2025-02-02
a925976f-81a2-4988-9f0f-b9485b105704,Wireless Earbuds,70625,Phone well Congress either too detail group.,1,2025-03-06
345e06ce-6413-474c-b782-4259573fe311,Smart Watch,29505,Instead specific top federal himself travel adult road property score.,4,2024-05-11
64f94a87-98e3-49ba-b8a6-1544b1a97cf2,Fitness Tracker,32948,Again reach data send material middle strategy face difference success student.,5,2025-04-13
7c3ba1fc-fdf1-4ca6-ae0b-518eb811de93,Laptop Stand,98081,Enough military six blood base officer win.,3,2024-12-30
